건물명,주소,주용도,세대수,사용승인일,법정동,lat,lon,노후도
 ,경상북도 경산시 오목내길 157-16 (조영동),단독주택,0,19970804,조영동,35.8505546978466,128.750932606436,29
 ,경상북도 경산시 오목내길 151 (조영동),단독주택,0,1948    ,조영동,35.8516201408313,128.751961619433,78
A동,경상북도 경산시 오목내길 121-8 (조영동),단독주택,0,1968    ,조영동,35.8504381886764,128.753952723197,58
D동,경상북도 경산시 오목내길 121-8 (조영동),단독주택,0,1968    ,조영동,35.8504381886764,128.753952723197,58
C동,경상북도 경산시 오목내길 121-8 (조영동),단독주택,0,1968    ,조영동,35.8504381886764,128.753952723197,58
B동,경상북도 경산시 오목내길 121-8 (조영동),단독주택,0,1968    ,조영동,35.8504381886764,128.753952723197,58
 ,경상북도 경산시 둥지로10길 30-5 (조영동),단독주택,0,20081104,조영동,35.844072511031,128.752128590328,18
 ,경상북도 경산시 둥지로10길 30-9 (조영동),제2종근린생활시설,0,20070213,조영동,35.8438401107488,128.752320147199,19
 ,경상북도 경산시 둥지로10길 22-3 (조영동),단독주택,0,20040906,조영동,35.8437582607562,128.752674166574,22
 ,경상북도 경산시 둥지로10길 30-7 (조영동),단독주택,0,20080520,조영동,35.8439957250847,128.752357880534,18
 ,경상북도 경산시 둥지로10길 30-3 (조영동),단독주택,0,20071204,조영동,35.8439460269603,128.752064493484,19
 ,경상북도 경산시 둥지로10길 30-11 (조영동),단독주택,0,20070905,조영동,35.8438105241402,128.752501335448,19
 ,경상북도 경산시 청운1로 53-4 (조영동),단독주택,0,20150825,조영동,35.8407751874452,128.755395547074,11
 ,경상북도 경산시 대학로67길 23-1 (조영동),단독주택,0,20060329,조영동,35.8408873741367,128.755297087598,20
 ,경상북도 경산시 대학로67길 21-1 (조영동),단독주택,0,20070626,조영동,35.8408724089029,128.755501056439,19
 ,경상북도 경산시 대학로67길 21 (조영동),단독주택,0,20150901,조영동,35.8407854709989,128.75557981936,11
 ,경상북도 경산시 대학로67길 23 (조영동),단독주택,0,20210115,조영동,35.8409916273134,128.755420902042,5
 ,경상북도 경산시 대학로67길 24 (조영동),단독주택,0,20150910,조영동,35.8410475632123,128.755613706736,11
 ,경상북도 경산시 대학로67길 22 (조영동),단독주택,0,20151014,조영동,35.8409680631331,128.755763131147,11
 ,경상북도 경산시 대학로67길 20 (조영동),단독주택,0,20180813,조영동,35.8408555813552,128.755844761563,8
 ,경상북도 경산시 청운1로 61 (조영동),단독주택,0,20120413,조영동,35.8409231518451,128.755932021196,14
 ,경상북도 경산시 대학로67길 24-4 (조영동),단독주택,0,20120920,조영동,35.8412878231234,128.755840456344,14
 ,경상북도 경산시 청운1로 65 (조영동),공동주택,15,19841026,조영동,35.8411601052595,128.756015047035,42
 ,경상북도 경산시 청운1로 63 (조영동),단독주택,0,20121130,조영동,35.8410413095018,128.755949124014,14
 ,경상북도 경산시 대학로67길 24-2 (조영동),단독주택,0,20061205,조영동,35.8411557967822,128.755680945844,20
 ,경상북도 경산시 청운1로 65-3 (조영동),단독주택,0,20150323,조영동,35.8413055200929,128.756004529739,11
 ,경상북도 경산시 청운로 63-1 (조영동),단독주택,0,20110530,조영동,35.8401817173716,128.756812767053,15
 ,경상북도 경산시 청운로 65 (조영동),단독주택,0,20180430,조영동,35.8402362742018,128.756908703959,8
 ,경상북도 경산시 대학로67길 8 (조영동),단독주택,0,19850529,조영동,35.8400104843805,128.756875724173,41
 ,경상북도 경산시 청운로 66 (조영동),단독주택,0,20161227,조영동,35.840072714896,128.756946044103,10
 ,경상북도 경산시 대학로67길 6 (조영동),단독주택,0,20160719,조영동,35.8399210594664,128.7569642795,10
 ,경상북도 경산시 대학로67길 4-1 (조영동),단독주택,0,20160817,조영동,35.8400185136618,128.757078426952,10
 ,경상북도 경산시 대학로67길 4 (조영동),단독주택,0,20080428,조영동,35.8398624916769,128.757142604297,18
 ,경상북도 경산시 대학로 333 (조영동),제2종근린생활시설,0,1973    ,조영동,35.8397931583859,128.757231381069,53
 ,경상북도 경산시 대학로 333 (조영동),제1종근린생활시설,0,19850131,조영동,35.8397931583859,128.757231381069,41
 ,경상북도 경산시 대학로 333 (조영동),제1종근린생활시설,0,19931124,조영동,35.8397931583859,128.757231381069,33
 ,경상북도 경산시 대학로67길 1 (조영동),단독주택,0,20160122,조영동,35.8396177297935,128.757032843778,10
 ,경상북도 경산시 대학로 331 (조영동),제1종근린생활시설,0,20151215,조영동,35.8395246766123,128.757110694238,11
 ,경상북도 경산시 청운1로 66 (조영동),단독주택,0,20100305,조영동,35.8409669883861,128.75632985419,16
 ,경상북도 경산시 청운1로 68-2 (조영동),단독주택,0,20180109,조영동,35.8410019089581,128.75658549987,8
 ,경상북도 경산시 대학로67길 14-19 (조영동),단독주택,0,20170214,조영동,35.8409193580633,128.756672326783,9
 ,경상북도 경산시 대학로67길 14-17 (조영동),단독주택,0,20141219,조영동,35.8408313184213,128.756740107733,12
 ,경상북도 경산시 대학로67길 14-15 (조영동),단독주택,0,20180705,조영동,35.8407527071135,128.756649947928,8
 ,경상북도 경산시 대학로67길 14-13 (조영동),단독주택,0,20170202,조영동,35.8408638680561,128.75651693831,9
 ,경상북도 경산시 대학로67길 14-7 (조영동),단독주택,0,20151112,조영동,35.8406393157657,128.756516413086,11
 ,경상북도 경산시 대학로67길 14-4 (조영동),단독주택,0,20170809,조영동,35.8404992642794,128.756603852976,9
 ,경상북도 경산시 대학로67길 14-6 (조영동),단독주택,0,20180111,조영동,35.8404048693891,128.756705690628,8
 ,경상북도 경산시 대학로67길 14-8 (조영동),단독주택,0,19870821,조영동,35.8403238988854,128.75678303401,39
 ,경상북도 경산시 대학로67길 14-12 (조영동),단독주택,0,20150319,조영동,35.8404764178153,128.756884451966,11
