개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,최종수정시점
5130000,202451300000803452,경상북도 경산시청,경상북도 경산시 진량읍 상림리 333-1,,차량방범,1,200,,30,200910,053-810-5182,35.902382,128.828727,2024-11-28,2024-11-28 17:00:12
5130000,202451300000803453,경상북도 경산시청,경상북도 경산시 진량읍 상림리 333-1,,차량방범,1,200,,30,200910,053-810-5182,35.902402,128.828713,2024-11-28,2024-11-28 17:00:12
5130000,202451300000803454,경상북도 경산시청,경상북도 경산시 진량읍 상림리 333-1,,차량방범,1,200,,30,200910,053-810-5182,35.902429,128.828693,2024-11-28,2024-11-28 17:00:12
5130000,202451300000803455,경상북도 경산시청,경상북도 경산시 진량읍 평사리 29-1,,생활방범,1,200,,30,200910,053-810-5182,35.902429,128.828693,2024-11-28,2024-11-28 17:00:12
5130000,202451300000803456,경상북도 경산시청,경상북도 경산시 진량읍 평사리 29-1,,생활방범,1,200,,30,200910,053-810-5182,35.902429,128.828693,2024-11-28,2024-11-28 17:00:12
5130000,202451300000803457,경상북도 경산시청,경상북도 경산시 남산면 갈지리 232,,생활방범,1,200,,30,200910,053-810-5182,35.902429,128.828693,2024-11-28,2024-11-28 17:00:12
5130000,202451300000803458,경상북도 경산시청,경상북도 경산시 남산면 갈지리 232,,생활방범,1,200,,30,200910,053-810-5182,35.902429,128.828693,2024-11-28,2024-11-28 17:00:12
5130000,202451300000803459,경상북도 경산시청,경상북도 경산시 남산면 갈지리 232,,생활방범,1,200,,30,200910,053-810-5182,35.902429,128.828693,2024-11-28,2024-11-28 17:00:12
5130000,202451300000803460,경상북도 경산시청,경상북도 경산시 용성면 곡란리 310-1,,차량방범,1,200,,30,200910,053-810-5182,35.902429,128.828693,2024-11-28,2024-11-28 17:00:12
5130000,202451300000803461,경상북도 경산시청,경상북도 경산시 용성면 곡란리 310-1,,생활방범,1,200,,30,200910,053-810-5182,35.902429,128.828693,2024-11-28,2024-11-28 17:00:12
5130000,202451300000803462,경상북도 경산시청,경상북도 경산시 용성면 곡란리 310-1,,생활방범,1,200,,30,200910,053-810-5182,35.902429,128.828693,2024-11-28,2024-11-28 17:00:12
5130000,202451300000803463,경상북도 경산시청,경상북도 경산시 용성면 송림리 589-5,,차량방범,1,200,,30,200910,053-810-5182,35.902429,128.828693,2024-11-28,2024-11-28 17:00:12
