보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
대동1,1,,경상북도 경산시 대동 278-1,35.83786208,128.750783,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동2,1,,경상북도 경산시 대동 2-1 뜰안채 앞,35.83983858,128.7507008,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동3,1,,경상북도 경산시 대동 1-2,35.8397786,128.7505234,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동4,1,,경상북도 경산시 대동 136-4,35.83747254,128.7512823,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동5,1,,경상북도 경산시 대동 139-6,35.83763697,128.7515156,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동6,1,,경상북도 경산시 대동 144-7,35.83778858,128.7521794,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동7,1,,경상북도 경산시 대동 140-1,35.83784843,128.7517281,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동8,1,,경상북도 경산시 대동 147-6,35.83808799,128.7526099,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동9,1,,경상북도 경산시 대동 1-1 오진사 앞,35.83988274,128.7511486,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동10,1,,경상북도 경산시 대동 144-5,35.83784789,128.752017,2021.0,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동11,1,,경상북도 경산시 대동 150-14,35.83797125,128.7532214,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동12,1,,경상북도 경산시 대동 154-25,35.83770055,128.7528212,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동13,1,,경상북도 경산시 대동 155-8,35.83757516,128.753586,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동14,1,,경상북도 경산시 대동 157-1,35.83720341,128.7531551,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동15,1,,경상북도 경산시 대동 158-17,35.83691232,128.752082,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동16,1,,경상북도 경산시 대동 158-18,35.83704699,128.7518844,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동17,1,,경상북도 경산시 대동 158-3,35.83738802,128.7525615,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동18,1,,경상북도 경산시 대동 158-28,35.8371641,128.7518393,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동19,1,,경상북도 경산시 대동 145-1,35.83765129,128.7522842,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동20,1,,경상북도 경산시 대동 166-4,35.83676523,128.7519204,2021.0,전용주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동21,1,,경상북도 경산시 대동 160-12,35.83652876,128.7517265,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동22,1,,경상북도 경산시 대동 160-12,35.83658909,128.7517265,2021.0,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동23,1,,경상북도 경산시 대동 166-14,35.83676737,128.7522891,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동24,1,,경상북도 경산시 대동 168-5,35.83732595,128.7540403,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동25,1,,경상북도 경산시 대동 17-7 이진사 앞,35.83971013,128.7513219,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동27,1,,경상북도 경산시 조영동 594,35.83853339,128.75298,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동28,1,,경상북도 경산시 대동 278-1,35.83786208,128.750783,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동29,1,,경상북도 경산시 대동 24-2,35.83902166,128.7516137,2021.0,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동30,1,,경상북도 경산시 대동 250-9,35.83751121,128.74995,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동31,1,,경상북도 경산시 대동 167-5,35.83696054,128.7529371,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동32,1,,경상북도 경산시 대동 167-5,35.83690723,128.7529676,2023.0,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동33,1,,경상북도 경산시 대동 250-9,35.83751121,128.74995,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동34,1,,경상북도 경산시 대동 56-2,35.83794718,128.7508288,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동35,1,,경상북도 경산시 대동 55-3,35.83812642,128.7508549,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동36,1,,경상북도 경산시 대동 278-1,35.83786208,128.750783,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동37,1,,경상북도 경산시 대동 142-1,35.83819885,128.7516808,,전용주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동38,1,,경상북도 경산시 대동 142-4,35.83819744,128.7518273,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동39,1,,경상북도 경산시 대동 278-1,35.83786208,128.750783,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동40,1,,경상북도 경산시 대동 278-1,35.83786208,128.750783,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동41,1,,경상북도 경산시 대동 17-1 최진사 앞,35.83973483,128.7509406,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
대동42,1,,경상북도 경산시 대동 57-4,35.83847719,128.7505594,,한전주,053-810-6127,경상북도 경산시 도로철도과,2025-07-31
