name,lat,lon,category,url,type
온달포장 영대점,35.8382917998231,128.754098577492,음식점 > 술집 > 실내포장마차,http://place.map.kakao.com/442344250,술집
청춘사업,35.83817394477824,128.7536533131961,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/354515003,술집
도화 본점,35.8376470890304,128.751903143132,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/444108948,술집
역전할머니맥주 경산영남대점,35.8377819435947,128.754086243604,"음식점 > 술집 > 호프,요리주점 > 역전할머니맥주",http://place.map.kakao.com/767714702,술집
인쌩맥주 경산영대점,35.8383266194797,128.753071243353,"음식점 > 술집 > 호프,요리주점 > 인쌩맥주",http://place.map.kakao.com/2018289769,술집
용용선생 영남대점,35.8383370129004,128.753347034168,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/143343585,술집
월랑 경산영대점,35.8380840073827,128.754443709924,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/1375984208,술집
역전할머니맥주 경산임당역점,35.833724729422,128.741846314007,"음식점 > 술집 > 호프,요리주점 > 역전할머니맥주",http://place.map.kakao.com/792484782,술집
자야,35.8377189336422,128.753217229712,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/983114429,술집
정든밤 경산영남대점,35.838304541819,128.754336793071,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/1462674582,술집
커스올라,35.8372433959146,128.753384935901,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/693983366,술집
코르켓,35.83292974674444,128.743909344923,음식점 > 술집 > 와인바,http://place.map.kakao.com/448072331,술집
배낭여행6000냥,35.841025440820864,128.76305009742637,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/1741922450,술집
크라운호프 신대부적점,35.8417998237664,128.76382644975,"음식점 > 술집 > 호프,요리주점 > 크라운호프",http://place.map.kakao.com/1837929552,술집
윤스을,35.837425600391214,128.75318753383667,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/250331876,술집
프라이프라이프라이,35.8379640016562,128.754207559538,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/327231124,술집
옥천상사,35.8392452959213,128.754461541006,음식점 > 술집,http://place.map.kakao.com/964659949,술집
단골손님 영대점,35.8385246895783,128.752774586125,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/909389781,술집
빅대디,35.8408242654424,128.763863501334,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/1895144945,술집
훅(HOOC),35.83871566825192,128.755432607395,음식점 > 술집,http://place.map.kakao.com/1901277701,술집
스마일해피 본점,35.8383808319244,128.7520111344028,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/1095498129,술집
79대포 영남대점,35.8383370061985,128.753470981618,음식점 > 술집 > 실내포장마차 > 79대포,http://place.map.kakao.com/1457129409,술집
장군포차,35.8385392482042,128.752764946375,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/669775972,술집
오브닝,35.8384022766514,128.753320803809,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/108198055,술집
다이닝타몽 신대부적점,35.84015224315026,128.76329637693553,음식점 > 술집 > 일본식주점,http://place.map.kakao.com/723424050,술집
오덕후,35.8388124892154,128.753121776928,음식점 > 술집 > 일본식주점,http://place.map.kakao.com/1851119460,술집
별포차,35.838471319116316,128.75390000878784,음식점 > 술집 > 실내포장마차,http://place.map.kakao.com/823577368,술집
더좋은날에좋은맥주 영남대점,35.8379319406258,128.753379064881,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/1421887886,술집
동양맥주 경산신대점,35.8423609159191,128.763233494921,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/1156296115,술집
우리집애,35.8380639229171,128.75378258495,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/602425498,술집
한량,35.8378087675646,128.753668513928,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/139774873,술집
신계양 경산영대점,35.8377044557044,128.75322133773,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/1653377889,술집
솔잎동동주,35.8266789509319,128.742272112498,음식점 > 술집 > 실내포장마차,http://place.map.kakao.com/702577147,술집
비옴,35.83758724082534,128.75124889464,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/1826329790,술집
스퀘어 영남대점,35.8378632932693,128.753204913592,음식점 > 술집,http://place.map.kakao.com/1555035685,술집
흠뻑,35.843347374394256,128.76447939179332,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/1087296034,술집
투다리 신대점,35.84082142422944,128.76252210870095,음식점 > 술집 > 오뎅바 > 투다리,http://place.map.kakao.com/1906736586,술집
노가리로8253,35.84048863088563,128.76370777044647,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/1163747512,술집
미노연가,35.839374866114,128.754289538027,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/1415332472,술집
낑깡,35.837669433552975,128.75148310146798,음식점 > 술집 > 일본식주점,http://place.map.kakao.com/28308984,술집
별난아재맥주 경산신대영대점,35.8419849042007,128.763311495033,"음식점 > 술집 > 호프,요리주점 > 별난아재맥주",http://place.map.kakao.com/1113527699,술집
포커존 경산영대점,35.8380978622682,128.753247703095,음식점 > 술집,http://place.map.kakao.com/1183960092,술집
수풀림 영대점,35.8378325445656,128.753644690691,음식점 > 술집 > 실내포장마차,http://place.map.kakao.com/661368764,술집
부엉이집,35.8379751530557,128.753875804162,음식점 > 술집,http://place.map.kakao.com/1620937448,술집
락휴노래연습장 영남대점,35.8381776288927,128.753647860948,"가정,생활 > 여가시설 > 노래방 > 락휴노래연습장",http://place.map.kakao.com/9786377,노래방
빅코인플러스노래연습장,35.8376592912199,128.753105250477,"가정,생활 > 여가시설 > 노래방 > 코인노래방",http://place.map.kakao.com/208504220,노래방
M스타동전노래연습장,35.8372555104055,128.753357536052,"가정,생활 > 여가시설 > 노래방 > 코인노래방",http://place.map.kakao.com/650219364,노래방
대경노래연습장,35.842652930560604,128.76500962584913,"가정,생활 > 여가시설 > 노래방",http://place.map.kakao.com/785572166,노래방
공기반소리반코인노래연습장,35.8367878962273,128.75335277701,"가정,생활 > 여가시설 > 노래방 > 코인노래방",http://place.map.kakao.com/1878622588,노래방
별노래연습장,35.8432061300081,128.764954374448,"가정,생활 > 여가시설 > 노래방",http://place.map.kakao.com/1158976240,노래방
정노래연습장,35.8403087934225,128.763190279268,"가정,생활 > 여가시설 > 노래방",http://place.map.kakao.com/23167888,노래방
럭키노래연습장,35.8391706973612,128.756360078106,"가정,생활 > 여가시설 > 노래방",http://place.map.kakao.com/1398951344,노래방
