법정동,건축년도,전용면적,보증금,월세,계약일,노후도
조영동,2012,20.0,200,29,2026-1-7,14
조영동,2005,45.0,200,45,2026-1-3,21
조영동,2015,25.0,200,29,2026-1-14,11
압량읍 부적리,2017,35.0,500,38,2026-1-10,9
압량읍 부적리,2016,27.0,100,25,2026-1-16,10
압량읍 부적리,2018,27.0,200,30,2026-1-15,8
대동,2012,26.0,200,30,2026-1-15,14
대동,2006,28.0,200,30,2026-1-9,20
압량읍 부적리,2018,25.0,30,30,2026-1-14,8
압량읍 부적리,2021,50.42,2000,30,2026-1-12,5
대동,2011,30.28,5000,7,2026-1-9,15
조영동,1999,25.0,300,30,2026-1-1,27
조영동,2002,21.0,200,30,2026-1-10,24
압량읍 부적리,2013,50.0,2000,25,2026-1-9,13
조영동,2010,18.15,100,23,2026-1-10,16
압량읍 부적리,2019,25.0,300,30,2026-1-3,7
대동,2012,54.0,300,45,2026-1-4,14
조영동,2015,22.0,200,28,2026-1-5,11
조영동,2000,25.0,200,30,2026-1-3,26
압량읍 부적리,0,40.96,300,35,2026-1-3,0
조영동,1999,27.0,150,25,2026-1-3,27
압량읍 부적리,2018,50.0,10500,0,2026-1-6,8
임당동,2004,30.0,200,30,2026-1-6,22
압량읍 부적리,2018,25.0,300,30,2026-1-5,8
대동,2013,27.0,200,30,2026-1-5,13
압량읍 부적리,2015,25.0,200,30,2026-1-1,11
압량읍 부적리,2017,40.0,200,30,2026-1-2,9
조영동,2018,39.5,50,55,2026-1-1,8
조영동,2001,27.0,200,30,2026-1-1,25
대동,2015,21.0,200,28,2025-12-26,11
압량읍 부적리,2016,23.0,70,17,2025-12-22,10
조영동,2011,31.84,300,53,2025-12-21,15
조영동,2003,35.5,300,30,2025-12-21,23
조영동,2012,26.0,2000,0,2025-12-27,14
대동,2011,28.27,200,24,2025-12-9,15
압량읍 부적리,2009,25.0,100,24,2025-12-15,17
대동,2000,23.0,100,29,2025-12-27,26
조영동,2012,25.0,200,30,2025-12-4,14
압량읍 부적리,2014,33.0,300,35,2025-12-19,12
조영동,2001,25.0,200,24,2025-12-27,25
조영동,2002,20.0,100,20,2025-12-20,24
대동,2013,24.2,100,28,2025-12-24,13
조영동,2008,20.0,200,40,2025-12-24,18
대동,2012,20.0,200,30,2025-12-12,14
조영동,2015,23.0,200,29,2025-12-25,11
조영동,2018,20.0,200,30,2025-12-27,8
대동,2014,29.37,200,25,2025-12-24,12
대동,2012,26.44,200,30,2025-12-13,14
조영동,2012,25.55,200,33,2025-12-5,14
압량읍 부적리,2021,26.26,6500,7,2025-12-29,5
대동,2019,27.14,200,30,2025-12-31,7
조영동,2012,29.19,200,33,2025-12-30,14
조영동,2001,20.0,100,29,2025-12-8,25
조영동,2010,26.0,200,28,2025-12-20,16
조영동,2020,40.0,500,45,2025-12-28,6
조영동,1999,20.0,30,30,2025-12-15,27
임당동,2017,35.0,3000,30,2025-12-20,9
압량읍 부적리,2019,45.06,7000,15,2025-12-26,7
임당동,2002,30.0,70,24,2025-12-26,24
임당동,2005,26.0,100,18,2025-12-15,21
압량읍 부적리,2021,27.0,200,27,2025-12-23,5
조영동,1999,25.0,8500,0,2025-12-19,27
조영동,2017,23.1,4500,0,2025-12-19,9
대동,2011,25.0,200,30,2025-12-18,15
조영동,2000,20.0,200,30,2025-12-13,26
압량읍 부적리,2007,50.0,300,30,2025-12-10,19
압량읍 부적리,2019,25.0,300,30,2025-12-15,7
조영동,2018,45.0,3000,21,2025-12-15,8
대동,2007,23.14,200,29,2025-12-13,19
조영동,2020,30.0,500,45,2025-12-1,6
임당동,2001,24.0,70,25,2025-12-11,25
압량읍 부적리,2015,26.33,1500,30,2025-12-10,11
조영동,2000,27.0,200,30,2025-12-1,26
압량읍 부적리,2017,45.0,1500,30,2025-11-24,9
압량읍 부적리,2019,34.0,300,40,2025-11-7,7
압량읍 부적리,2011,46.0,200,40,2025-11-18,15
조영동,2018,40.0,50,40,2025-11-22,8
압량읍 부적리,2014,36.0,300,41,2025-11-15,12
조영동,2000,25.0,200,30,2025-11-22,26
압량읍 부적리,2014,25.5,200,29,2025-11-5,12
압량읍 부적리,2011,27.0,100,27,2025-11-29,15
압량읍 부적리,2018,50.0,10500,0,2025-11-28,8
압량읍 부적리,2016,66.0,1000,30,2025-11-22,10
압량읍 부적리,2006,25.0,100,25,2025-11-16,20
압량읍 부적리,2021,23.0,500,30,2025-11-21,5
조영동,1999,27.0,30,24,2025-11-13,27
압량읍 부적리,2015,55.0,1000,30,2025-11-15,11
압량읍 부적리,2018,50.0,10500,0,2025-11-17,8
조영동,2012,25.0,100,25,2025-11-14,14
임당동,2005,66.0,300,35,2025-11-14,21
압량읍 부적리,2008,20.0,100,22,2025-11-13,18
압량읍 부적리,2014,51.1,7000,0,2025-11-12,12
임당동,2004,20.0,70,20,2025-11-10,22
조영동,2007,27.0,100,25,2025-11-9,19
대동,2011,42.46,5000,0,2025-11-7,15
조영동,2000,27.0,300,30,2025-11-5,26
임당동,2004,40.0,200,30,2025-11-1,22
조영동,2018,30.0,300,30,2025-11-5,8
임당동,2003,35.0,150,35,2025-10-20,23
압량읍 부적리,2020,45.0,1000,30,2025-10-29,6
압량읍 부적리,2010,20.0,70,25,2025-10-21,16
임당동,0,30.0,150,25,2025-10-25,0
압량읍 부적리,2014,31.32,7000,0,2025-10-31,12
압량읍 부적리,2016,36.0,2000,25,2025-10-25,10
조영동,2001,20.0,70,20,2025-10-21,25
조영동,2000,20.0,100,24,2025-10-21,26
압량읍 부적리,0,30.0,490,55,2025-10-14,0
조영동,2002,20.0,1500,10,2025-10-16,24
임당동,2001,21.0,150,25,2025-10-9,25
대동,1995,19.14,30,25,2025-10-1,31
압량읍 부적리,2011,27.0,100,20,2025-10-13,15
압량읍 부적리,0,30.0,200,26,2025-9-15,0
조영동,2014,21.0,30,30,2025-9-6,12
임당동,2007,45.0,100,20,2025-9-3,19
조영동,2016,27.0,200,30,2025-9-28,10
압량읍 부적리,2016,25.0,1500,25,2025-9-17,10
압량읍 부적리,2015,21.0,200,35,2025-9-30,11
압량읍 부적리,2015,50.0,4000,0,2025-9-20,11
압량읍 부적리,2016,25.0,100,25,2025-9-20,10
압량읍 부적리,2015,30.0,2000,20,2025-9-22,11
조영동,2012,29.19,200,37,2025-9-21,14
압량읍 부적리,2016,100.0,1000,58,2025-9-13,10
조영동,1999,20.0,200,27,2025-9-2,27
조영동,2006,28.0,100,25,2025-9-1,20
조영동,2011,33.0,200,30,2025-8-19,15
조영동,2002,20.0,200,29,2025-8-20,24
대동,2012,24.0,100,29,2025-8-3,14
압량읍 부적리,2007,25.0,100,25,2025-8-30,19
조영동,2001,27.0,200,25,2025-8-18,25
조영동,2000,21.0,100,27,2025-8-24,26
압량읍 부적리,2017,35.0,300,43,2025-8-12,9
압량읍 부적리,2020,45.0,500,37,2025-8-31,6
조영동,2000,20.0,100,29,2025-8-15,26
조영동,2015,25.0,200,27,2025-8-30,11
조영동,2004,66.0,200,25,2025-8-31,22
임당동,2003,25.5,50,21,2025-8-31,23
조영동,2006,26.4,200,35,2025-8-22,20
대동,2003,28.0,200,30,2025-8-15,23
압량읍 부적리,2017,40.0,500,30,2025-8-26,9
대동,2013,33.05,200,30,2025-8-15,13
조영동,1999,27.0,50,15,2025-8-22,27
압량읍 부적리,2015,40.0,200,30,2025-8-18,11
조영동,2012,30.0,180,26,2025-8-16,14
압량읍 부적리,2014,51.1,7000,0,2025-8-20,12
압량읍 부적리,2018,40.0,300,30,2025-8-14,8
조영동,2001,28.0,200,40,2025-8-17,25
조영동,2001,20.0,200,30,2025-8-9,25
압량읍 부적리,2017,30.0,200,28,2025-8-9,9
압량읍 부적리,2017,26.44,200,30,2025-8-4,9
조영동,2000,25.0,50,22,2025-8-18,26
조영동,2013,38.0,200,29,2025-8-18,13
임당동,2000,25.0,50,24,2025-8-18,26
조영동,2012,27.0,70,20,2025-8-18,14
압량읍 부적리,1981,78.8,300,35,2025-8-8,45
조영동,2018,22.0,5000,0,2025-8-18,8
조영동,2013,24.0,200,28,2025-8-10,13
조영동,2001,27.0,200,29,2025-8-14,25
조영동,2010,28.0,150,28,2025-8-12,16
조영동,2002,27.0,150,27,2025-8-9,24
임당동,2006,42.97,200,25,2025-8-7,20
압량읍 부적리,2015,19.2,200,30,2025-8-7,11
대동,2003,42.97,200,30,2025-8-6,23
압량읍 부적리,2020,40.0,500,30,2025-8-4,6
대동,2016,20.0,1500,25,2025-8-1,10
조영동,2008,36.0,3500,0,2025-8-1,18
조영동,2000,23.0,150,29,2025-7-9,26
압량읍 부적리,2014,27.0,200,30,2025-7-30,12
대동,2018,26.0,200,30,2025-7-4,8
조영동,2018,20.0,200,30,2025-7-1,8
조영동,2010,26.44,30,24,2025-7-28,16
대동,2017,20.0,200,30,2025-7-5,9
임당동,2002,27.0,100,20,2025-7-1,24
대동,2011,20.0,100,25,2025-7-29,15
조영동,2001,20.7,200,26,2025-7-21,25
조영동,2015,20.0,200,29,2025-7-31,11
대동,2012,49.0,300,45,2025-7-5,14
조영동,1999,25.0,200,30,2025-7-3,27
압량읍 부적리,2008,40.0,200,35,2025-7-12,18
조영동,2016,45.5,500,30,2025-7-31,10
조영동,2018,43.0,500,45,2025-7-30,8
조영동,0,43.0,400,45,2025-7-8,0
