매물번호,보증금,월세,층,위도,경도,주소,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),지하철역_도보(분),노후도
47711839,200,30,2,35.8396585497473,128.756435134109,경상북도 경산시 조영동,495,173,54,74,2027,54,166,6,12
47711348,200,28,2,35.8400713261704,128.759110051194,경상북도 경산시 압량읍 부적리,704,397,78,75,2268,71,16,9,10
47711271,200,32,2,35.8399098694701,128.754437223397,경상북도 경산시 조영동,428,62,20,196,1872,114,139,5,13
47709109,200,30,3,35.8394776528494,128.753581859678,경상북도 경산시 조영동,362,31,0,193,1782,48,179,5,25
47708946,150,30,3,35.8408589934826,128.753735669256,경상북도 경산시 조영동,516,153,105,317,1861,133,26,6,26
47707969,200,33,4,35.8382044997829,128.754782238973,경상북도 경산시 조영동,276,130,20,24,1831,118,154,3,17
47707837,200,35,2,35.8402135342987,128.75631921638,경상북도 경산시 조영동,538,185,53,95,2040,79,161,7,11
47707530,200,37,3,35.8409388484148,128.755745886485,경상북도 경산시 조영동,580,94,43,185,2027,12,162,7,11
47707343,200,38,3,35.8392882215578,128.756432833482,경상북도 경산시 조영동,465,170,14,92,2012,14,188,6,10
47706535,100,24,1,35.8396757827131,128.751891320114,경상북도 경산시 조영동,388,166,146,328,1653,33,235,5,24
47706325,100,27,3,35.83850842774,128.754524549134,경상북도 경산시 조영동,290,94,61,57,1821,114,180,4,24
47706321,200,30,3,35.8405656533684,128.756210997979,경상북도 경산시 조영동,565,152,41,126,2047,47,173,7,11
47706310,200,28,3,35.840091324207,128.759578183537,경상북도 경산시 압량읍 부적리,740,435,42,116,2309,83,58,9,12
47706308,100,27,1,35.8393620622802,128.752425370001,경상북도 경산시 조영동,345,111,89,268,1681,28,229,4,24
47706191,200,24,3,35.837721345709,128.757911649358,경상북도 경산시 조영동,483,353,124,178,2087,191,275,6,19
47706057,200,24,2,35.8398192414954,128.755083308001,경상북도 경산시 조영동,442,70,46,178,1921,54,177,6,12
47705829,150,26,4,35.8391053339633,128.754777404951,경상북도 경산시 조영동,359,35,85,102,1865,107,233,4,58
47705819,200,36,1,35.8386598910617,128.753933155839,경상북도 경산시 조영동,282,66,44,112,1776,62,185,4,27
47705731,100,27,3,35.8394972694718,128.756193307234,경상북도 경산시 조영동,468,149,38,100,2000,38,194,6,13
47705330,100,22,2,35.8413709870081,128.751668195445,경상북도 경산시 임당동,576,299,195,465,1729,68,200,7,26
47704281,200,27,2,35.8401097306674,128.756300327019,경상북도 경산시 조영동,527,178,57,91,2034,70,164,7,11
47704088,100,22,3,35.8375630338451,128.759301887421,경상북도 경산시 조영동,598,472,57,231,2204,118,278,7,19
47702182,100,25,2,35.841308593750014,128.75582885742233,경상북도 경산시 조영동,620,71,85,210,2052,49,169,8,14
47701405,200,33,2,35.8408652469186,128.756533569361,경상북도 경산시 조영동,608,151,77,134,2088,63,155,8,9
47699946,100,27,2,35.8389804903932,128.751216554929,경상북도 경산시 대동,335,220,111,306,1565,98,321,4,15
47699836,200,37,3,35.8386709827854,128.757465920057,경상북도 경산시 조영동,493,273,99,84,2078,116,190,6,15
47698447,100,23,3,35.8425321797142,128.753533346217,경상북도 경산시 조영동,698,176,250,451,1940,77,159,9,25
47697655,200,30,3,35.8389685278027,128.758550172723,경상북도 경산시 조영동,594,363,116,67,2181,74,125,7,12
47696318,200,29,2,35.8383699588863,128.757900399051,경상북도 경산시 조영동,511,321,123,106,2105,163,209,6,14
47696113,100,25,2,35.8387264464304,128.754441812874,경상북도 경산시 조영동,308,71,67,79,1822,96,201,4,22
47696037,100,23,3,35.8404514769857,128.753410400474,경상북도 경산시 조영동,467,140,99,289,1814,120,80,6,26
47695896,100,17,3,35.8399191547025,128.75240564293,경상북도 경산시 조영동,407,137,117,304,1707,57,183,5,27
47695315,200,30,2,35.8380546183089,128.752783830773,경상북도 경산시 대동,198,149,63,133,1656,54,149,2,13
47694730,6000,15,3,35.8389481016936,128.75469625201146,경상북도 경산시 조영동,340,47,74,87,1852,113,231,4,11
47694697,200,30,4,35.8407644449356,128.756654522964,경상북도 경산시 조영동,605,167,62,119,2093,75,140,8,8
